player_id,first_name,last_name,year,team,height,oreb_rate,dreb_rate,ast_rate,stl_rate,blk_rate,tov_rate,pts_hundred,usg_rate,per,ftr,ft_perc,fga_hundred,two_perc,two_m_ast,fga_dunk_perc,three_a_rate,three_a_corner_perc,three_perc,three_m_ast,zero_three_a_perc,three_ten_a_perc,ten_threep_a_perc,cluster,new_position,old_position,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2012dwestind,david,west,2012,ind,81,6.8,18.8,16.8,1.6,2.1,12,27.3,24.4,20.1,0.312,0.768,22.1,0.503,0.635,0.021,0.019,0.158,0.211,0.5,0.223,0.327,0.431,5,Versatile Role Player,PF,1.34E-70,4.26E-64,1.14E-78,0,1,4.59E-15,0,4.54E-33,3.03E-19
2013bbassbos,brandon,bass,2013,bos,80,7.8,15.9,6.4,0.8,2.4,10.9,20.7,18.2,15,0.33,0.858,16.5,0.487,0.603,0.11,0.008,0.333,0.333,0.5,0.348,0.171,0.473,5,Versatile Role Player,PF,9.21E-46,1.76E-51,1.73E-39,0,1,1.96E-35,0,4.43E-33,1.53E-13
2010jfarmarnjn,jordan,farmar,2010,njn,74,1.5,10.1,34.9,1.8,0.3,16.7,20.8,21.6,14.1,0.154,0.82,19.4,0.421,0.199,0.009,0.467,0.207,0.359,0.615,0.22,0.117,0.197,1,High Usage Guard,PG,0.999855435,9.01E-62,3.56E-08,0,5.64E-10,0.000144529,0,3.96E-33,9.93E-18
2015slarkinbkn,shane,larkin,2015,bkn,71,1.8,9.9,29.3,2.7,0.6,21,16.3,17.7,13.3,0.213,0.776,14.4,0.464,0.339,0,0.215,0.194,0.361,0.59,0.319,0.149,0.317,6,Floor General,PG,0.001202495,2.71E-43,1.03E-07,0,5.80E-08,0.998797344,0,3.29E-33,6.32E-18
2012kbazemoregsw,kent,bazemore,2012,gsw,77,2.1,6.8,13.1,3.2,1.2,11.7,23.4,25.7,11.3,0.379,0.614,22.1,0.402,0.242,0.017,0.293,0.265,0.294,0.5,0.198,0.06,0.448,6,Floor General,SG,0.022073886,9.28E-50,1.12E-19,0,9.64E-08,0.977926017,0,3.25E-33,2.37E-11
2015tmcconnellphi,t.j.,mcconnell,2015,phi,74,2.8,14.5,37.2,2.9,0.5,22.5,15,17,14.5,0.088,0.634,14.2,0.499,0.198,0,0.192,0.18,0.348,0.613,0.19,0.244,0.375,6,Floor General,PG,1.13E-20,8.81E-58,1.72E-15,0,4.84E-07,0.999999516,0,3.09E-33,1.38E-46
2011jlinnyk,jeremy,lin,2011,nyk,75,2.2,11.1,41,3,0.8,21.4,28.1,28.1,19.9,0.478,0.798,21,0.477,0.184,0.008,0.196,0.173,0.32,0.583,0.321,0.253,0.23,1,High Usage Guard,PG,0.999999936,1.57E-104,9.90E-20,0,1.49E-08,4.48E-08,0,1.31E-33,3.94E-09
2012ljamesmia,lebron,james,2012,mia,80,4.4,20.8,36.4,2.4,1.9,12.4,37.5,30.2,31.6,0.395,0.753,24.9,0.602,0.378,0.109,0.188,0.161,0.406,0.553,0.373,0.133,0.307,9,Ball Dominant Scorer,PF,1.06E-22,8.59E-98,2.83E-46,0,2.34E-14,4.42E-55,0,8.65E-34,1
2014lwilliamstor,lou,williams,2014,tor,73,1.4,7.3,13.6,2.3,0.4,8.4,31.9,27,19.9,0.426,0.861,23.8,0.464,0.283,0.006,0.482,0.23,0.34,0.559,0.112,0.125,0.281,1,High Usage Guard,SG,0.999999909,8.66E-42,5.51E-16,0,5.23E-15,4.21E-11,0,7.81E-34,9.10E-08
2013gdragicphx,goran,dragic,2013,phx,75,2.9,7.4,28.1,2,0.6,14.3,29,24.5,21.4,0.381,0.76,20.5,0.542,0.209,0.009,0.274,0.201,0.408,0.533,0.349,0.12,0.257,1,High Usage Guard,SG,0.999717629,8.72E-61,8.36E-12,0,2.12E-09,0.000280499,0,7.27E-34,1.87E-06
2018dwademia,dwyane,wade,2018,mia,76,3.9,12.2,26.5,1.5,1.8,13.5,28.1,27.9,15.8,0.243,0.708,24.9,0.472,0.333,0.019,0.272,0.268,0.33,0.547,0.246,0.168,0.314,9,Ball Dominant Scorer,SG,0.002368283,2.29E-57,1.17E-13,0,1.33E-09,4.09E-05,0,7.10E-34,0.997590782
2017klowrytor,kyle,lowry,2017,tor,72,3,16.1,30.9,1.7,0.6,14.7,24.9,21.7,19.5,0.276,0.854,18.5,0.474,0.267,0,0.631,0.102,0.399,0.643,0.175,0.085,0.109,1,High Usage Guard,PG,0.997608509,6.04E-50,2.84E-07,0,1.38E-17,0.002391207,0,6.69E-34,1.14E-18
2012klowrytor,kyle,lowry,2012,tor,72,3.2,15.9,34.6,2.5,1,17.7,20.8,20.3,17.5,0.384,0.795,16.4,0.433,0.295,0,0.448,0.09,0.362,0.624,0.238,0.119,0.196,1,High Usage Guard,PG,0.994428196,4.71E-56,2.20E-09,0,1.45E-12,0.005571802,0,6.21E-34,3.23E-14
2012bjenningsmil,brandon,jennings,2012,mil,73,2.1,7.2,29.1,2.2,0.3,12.9,24.4,23.7,16.1,0.225,0.819,21.8,0.412,0.253,0.005,0.37,0.158,0.375,0.595,0.228,0.121,0.281,1,High Usage Guard,PG,0.99998477,8.86E-49,3.11E-08,0,3.07E-11,1.51E-05,0,5.25E-34,5.53E-08
2013kdurantokc,kevin,durant,2013,okc,81,2.2,18.6,26.7,1.7,1.5,12.2,41.8,33,29.8,0.477,0.873,27.2,0.549,0.447,0.088,0.291,0.053,0.391,0.557,0.223,0.15,0.336,9,Ball Dominant Scorer,SF,3.64E-25,6.58E-90,1.24E-61,0,2.89E-23,6.94E-57,0,5.21E-34,1
